Elevation,Area(acres),Volume(acre-feet)
4291.2,3987.42,73894.54
4291.3,4004.2,74294.12
4291.4,4020.98,74695.38
4291.5,4037.76,75098.31
4291.6,4054.55,75502.93
4291.7,4071.33,75909.23
4291.8,4088.11,76317.2
4291.9,4104.89,76726.84
4292,4121.67,77138.17
4292.1,4137.71,77551.14
4292.2,4153.75,77965.71
4292.3,4169.79,78381.89
4292.4,4185.83,78799.67
4292.5,4201.87,79219.05
4292.6,4217.91,79640.05
4292.7,4233.94,80062.64
4292.8,4249.98,80486.84
4292.9,4266.02,80912.63
4293,4282.06,81340.04
4293.1,4298.1,81769.05
4293.2,4314.14,82199.66
4293.3,4330.18,82631.88
4293.4,4346.21,83065.7
4293.5,4362.25,83501.12
4293.6,4378.29,83938.14
4293.7,4394.33,84376.77
4293.8,4410.37,84817.01
4293.9,4426.41,85258.85
4294,4442.45,85702.29
4294.1,4457.63,86147.3
4294.2,4472.82,86593.81
4294.3,4488,87041.86
4294.4,4503.19,87491.41
4294.5,4518.37,87942.49
4294.6,4533.55,88395.09
4294.7,4548.74,88849.2
4294.8,4563.92,89304.84
4294.9,4579.1,89761.99
4295,4594.29,90220.66
4295.1,4609.47,90680.84
4295.2,4624.66,91142.55
4295.3,4639.84,91605.78
4295.4,4655.03,92070.52
4295.5,4670.21,92536.78
4295.6,4685.39,93004.56
4295.7,4700.58,93473.86
4295.8,4715.76,93944.68
4295.9,4730.95,94417.02
4296,4746.13,94890.87
4296.1,4760.94,95366.22
4296.2,4775.75,95843.05
4296.3,4790.56,96321.37
4296.4,4805.37,96801.16
4296.5,4820.18,97282.45
4296.6,4834.99,97765.2
4296.7,4849.8,98249.44
4296.8,4864.61,98735.16
4296.9,4879.42,99222.36
4297,4894.23,99711.05
4297.1,4909.04,100201.21
4297.2,4923.84,100692.85
4297.3,4938.65,101185.98
4297.4,4953.46,101680.59
4297.5,4968.27,102176.67
4297.6,4983.08,102674.23
4297.7,4997.89,103173.29
4297.8,5012.7,103673.81
4297.9,5027.51,104175.83
4298,5042.32,104679.32
4298.1,5058.75,105184.38
4298.2,5075.18,105691.07
4298.3,5091.62,106199.41
4298.4,5108.05,106709.39
4298.5,5124.48,107221.02
4298.6,5140.91,107734.29
4298.7,5157.34,108249.2
4298.8,5173.78,108765.76
4298.9,5190.21,109283.96
4299,5206.64,109803.8
4299.1,5223.07,110325.29
4299.2,5239.5,110848.41
4299.3,5255.94,111373.19
4299.4,5272.37,111899.6
4299.5,5288.8,112427.66
4299.6,5305.23,112957.36
4299.7,5321.66,113488.7
4299.8,5338.1,114021.7
4299.9,5354.53,114556.33
4300,5370.96,115092.6
4300.1,5389.97,115630.65
4300.2,5408.98,116170.59
4300.3,5427.98,116712.45
4300.4,5446.99,117256.2
4300.5,5466,117801.84
4300.6,5485.01,118349.39
4300.7,5504.02,118898.84
4300.8,5523.02,119450.2
4300.9,5542.03,120003.45
4301,5561.04,120558.6
4301.1,5580.05,121115.66
4301.2,5599.06,121674.61
4301.3,5618.06,122235.47
4301.4,5637.07,122798.23
4301.5,5656.08,123362.88
4301.6,5675.09,123929.44
4301.7,5694.1,124497.9
4301.8,5713.1,125068.26
4301.9,5732.11,125640.52
4302,5751.12,126214.68
4302.1,5770.49,126790.76
4302.2,5789.85,127368.77
4302.3,5809.21,127948.73
4302.4,5828.57,128530.62
4302.5,5847.93,129114.45
4302.6,5867.3,129700.2
4302.7,5886.66,130287.9
4302.8,5906.02,130877.54
4302.9,5925.38,131469.11
4303,5944.74,132062.61
4303.1,5964.1,132658.05
4303.2,5983.46,133255.44
4303.3,6002.83,133854.75
4303.4,6022.19,134456
4303.5,6041.55,135059.19
4303.6,6060.91,135664.31
4303.7,6080.27,136271.36
4303.8,6099.63,136880.36
4303.9,6118.99,137491.3
4304,6138.36,138104.16
4304.1,6154.91,138718.81
4304.2,6171.45,139335.14
4304.3,6188,139953.11
4304.4,6204.54,140572.73
4304.5,6221.09,141194.02
4304.6,6237.63,141816.95
4304.7,6254.17,142441.55
4304.8,6270.72,143067.78
4304.9,6287.26,143695.69
4305,6303.81,144325.23
4305.1,6320.35,144956.45
4305.2,6336.89,145589.31
4305.3,6353.44,146223.83
4305.4,6369.98,146860
4305.5,6386.52,147497.83
4305.6,6403.07,148137.3
4305.7,6419.61,148778.44
4305.8,6436.16,149421.22
4305.9,6452.7,150065.67
4306,6469.24,150711.77
4306.1,6486.08,151359.53
4306.2,6502.92,152008.98
4306.3,6519.75,152660.11
4306.4,6536.59,153312.94
4306.5,6553.42,153967.44
4306.6,6570.26,154623.62
4306.7,6587.09,155281.48
4306.8,6603.93,155941.03
4306.9,6620.76,156602.27
4307,6637.6,157265.19
4307.1,6654.44,157929.8
4307.2,6671.27,158596.08
4307.3,6688.11,159264.05
4307.4,6704.94,159933.7
4307.5,6721.78,160605.03
4307.6,6738.61,161278.05
4307.7,6755.45,161952.75
4307.8,6772.28,162629.14
4307.9,6789.12,163307.22
4308,6805.95,163986.97
4308.1,6822.96,164668.42
4308.2,6839.97,165351.56
4308.3,6856.98,166036.41
4308.4,6873.99,166722.95
4308.5,6891,167411.2
4308.6,6908,168101.16
4308.7,6925.01,168792.81
4308.8,6942.02,169486.16
4308.9,6959.03,170181.22
4309,6976.04,170877.95
4309.1,6993.05,171576.42
4309.2,7010.06,172276.58
4309.3,7027.06,172978.44
4309.4,7044.07,173681.98
4309.5,7061.08,174387.23
4309.6,7078.09,175094.2
4309.7,7095.1,175802.86
4309.8,7112.1,176513.22
4309.9,7129.11,177225.28
4310,7146.12,177939.05
4310.1,7161.88,178654.45
4310.2,7177.64,179371.42
4310.3,7193.4,180089.98
4310.4,7209.16,180810.09
4310.5,7224.92,181531.81
4310.6,7240.68,182255.09
4310.7,7256.44,182979.95
4310.8,7272.2,183706.38
4310.9,7287.96,184434.41
4311,7303.71,185163.95
4311.1,7319.47,185895.12
4311.2,7335.23,186627.86
4311.3,7350.99,187362.19
4311.4,7366.75,188098.06
4311.5,7382.51,188835.55
4311.6,7398.27,189574.56
4311.7,7414.03,190315.19
4311.8,7429.79,191057.38
4311.9,7445.55,191801.14
4312,7461.31,192546.48
4312.1,7480.3,193293.56
4312.2,7499.29,194042.55
4312.3,7518.28,194793.42
4312.4,7537.27,195546.2
4312.5,7556.26,196300.88
4312.6,7575.25,197057.45
4312.7,7594.24,197815.92
4312.8,7613.24,198576.3
4312.9,7632.23,199338.58
4313,7651.22,200102.77
4313.1,7670.21,200868.81
4313.2,7689.2,201636.78
4313.3,7708.19,202406.66
4313.4,7727.18,203178.42
4313.5,7746.17,203952.09
4313.6,7765.16,204727.66
4313.7,7784.15,205505.12
4313.8,7803.14,206284.48
4313.9,7822.13,207065.77
4314,7841.13,207848.92
4314.1,7859.95,208633.95
4314.2,7878.75,209420.91
4314.3,7897.56,210209.72
4314.4,7916.37,211000.42
4314.5,7935.17,211792.98
4314.6,7953.98,212587.45
4314.7,7972.78,213383.78
4314.8,7991.59,214182
4314.9,8010.39,214982.09
4315,8029.2,215784.08
4315.1,8048.01,216587.94
4315.2,8066.81,217393.69
4315.3,8085.62,218201.31
4315.4,8104.42,219010.81
4315.5,8123.23,219822.19
4315.6,8142.03,220635.45
4315.7,8160.84,221450.59
4315.8,8179.65,222267.62
4315.9,8198.45,223086.55
4316,8217.26,223907.31
4316.1,8236.81,224729.98
4316.2,8256.28,225554.64
4316.3,8275.74,226381.23
4316.4,8295.2,227209.78
4316.5,8314.66,228040.28
4316.6,8334.13,228872.72
4316.7,8353.59,229707.09
4316.8,8373.05,230543.44
4316.9,8392.51,231381.72
4317,8411.98,232221.94
4317.1,8431.44,233064.09
4317.2,8450.9,233908.23
4317.3,8470.37,234754.3
4317.4,8489.83,235602.3
4317.5,8509.29,236452.27
4317.6,8528.75,237304.16
4317.7,8548.22,238158.02
4317.8,8567.68,239013.81
4317.9,8587.14,239871.55
4318,8606.6,240731.23
4318.1,8626.07,241592.88
4318.2,8645.53,242456.45
4318.3,8664.99,243321.95
4318.4,8684.46,244189.45
4318.5,8703.92,245058.86
4318.6,8723.38,245930.23
4318.7,8742.84,246803.55
4318.8,8762.31,247678.8
4318.9,8781.77,248556
4319,8801.23,249435.16
4319.1,8820.7,250316.23
4319.2,8840.16,251199.3
4319.3,8859.62,252084.28
4319.4,8879.08,252971.22
4319.5,8898.55,253860.09
4319.6,8918.01,254750.92
4319.7,8937.47,255643.7
4319.8,8956.93,256538.42
4319.9,8976.4,257435.08
4320,8995.86,258333.7
4320.1,9013.46,259234.12
4320.2,9031.15,260136.34
4320.3,9048.84,261040.34
4320.4,9066.54,261946.12
4320.5,9084.23,262853.66
4320.6,9101.92,263762.97
4320.7,9119.61,264674.03
4320.8,9137.3,265586.88
4320.9,9154.99,266501.5
4321,9172.69,267417.88
4321.1,9190.38,268336.03
4321.2,9208.07,269255.97
4321.3,9225.76,270177.66
4321.4,9243.45,271101.12
4321.5,9261.14,272026.34
4321.6,9278.83,272953.34
4321.7,9296.53,273882.09
4321.8,9314.22,274812.66
4321.9,9331.91,275744.94
4322,9349.6,276679.03
4322.1,9367.74,277614.91
4322.2,9385.89,278552.59
4322.3,9404.04,279492.09
4322.4,9422.19,280433.38
4322.5,9440.34,281376.53
4322.6,9458.48,282321.47
4322.7,9476.63,283268.22
4322.8,9494.78,284216.78
4322.9,9512.93,285167.16
4323,9531.08,286119.38
4323.1,9549.23,287073.38
4323.2,9567.38,288029.22
4323.3,9585.52,288986.88
4323.4,9603.67,289946.31
4323.5,9621.82,290907.59
4323.6,9639.97,291870.69
4323.7,9658.12,292835.59
4323.8,9676.27,293802.31
4323.9,9694.42,294770.84
4324,9712.56,295741.19
4324.1,9733.31,296713.47
4324.2,9754.04,297687.84
4324.3,9774.78,298664.28
4324.4,9795.51,299642.81
4324.5,9816.24,300623.38
4324.6,9836.98,301606.03
4324.7,9857.71,302590.78
4324.8,9878.44,303577.59
4324.9,9899.18,304566.47
4325,9919.91,305557.44
4325.1,9940.64,306550.44
4325.2,9961.38,307545.56
4325.3,9982.11,308542.72
4325.4,10002.84,309541.97
4325.5,10023.58,310543.28
4325.6,10044.31,311546.69
4325.7,10065.04,312552.16
4325.8,10085.78,313559.69
4325.9,10106.51,314569.31
4326,10127.24,315581
4326.1,10150.78,316594.91
4326.2,10174.29,317611.16
4326.3,10197.79,318629.75
4326.4,10221.3,319650.72
4326.5,10244.8,320674.03
4326.6,10268.31,321699.69
4326.7,10291.81,322727.69
4326.8,10315.32,323758.03
4326.9,10338.82,324790.75
4327,10362.33,325825.81
4327.1,10385.83,326863.22
4327.2,10409.34,327902.97
4327.3,10432.85,328945.06
4327.4,10456.35,329989.53
4327.5,10479.86,331036.34
4327.6,10503.36,332085.5
4327.7,10526.87,333137.03
4327.8,10550.37,334190.88
4327.9,10573.88,335247.09
4328,10597.38,336305.62
4328.1,10616.16,337366.38
4328.2,10634.91,338428.88
4328.3,10653.66,339493.31
4328.4,10672.41,340559.62
4328.5,10691.15,341627.81
4328.6,10709.9,342697.84
4328.7,10728.65,343769.81
4328.8,10747.4,344843.59
4328.9,10766.14,345919.25
4329,10784.89,346996.81
4329.1,10803.64,348076.25
4329.2,10822.39,349157.53
4329.3,10841.14,350240.72
4329.4,10859.88,351325.81
4329.5,10878.63,352412.69
4329.6,10897.38,353501.53
4329.7,10916.13,354592.16
4329.8,10934.87,355684.72
4329.9,10953.62,356779.16
4330,10972.37,357875.44
4330.1,10991.52,358973.62
4330.2,11010.65,360073.75
4330.3,11029.79,361175.75
4330.4,11048.92,362279.69
4330.5,11068.06,363385.53
4330.6,11087.2,364493.31
4330.7,11106.33,365603
4330.8,11125.47,366714.56
4330.9,11144.6,367828.09
4331,11163.74,368943.53
4331.1,11182.88,370060.81
4331.2,11202.01,371180.09
4331.3,11221.15,372301.19
4331.4,11240.28,373424.31
4331.5,11259.42,374549.28
4331.6,11278.55,375676.19
4331.7,11297.69,376805
4331.8,11316.83,377935.72
4331.9,11335.96,379068.38
4332,11355.1,380202.91
4332.1,11372.17,381339.28
4332.2,11389.24,382477.38
4332.3,11406.31,383617.12
